tatripid,tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,origtatripno,dly,dyn,prdctdn,zone,psgld,stst,stsd
209592,20210911 12:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:50,4404CC,209592,False,0,DUE,,,46200,2021-09-11
209595,20210911 12:44,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:45,4411CC,209595,False,0,DUE,,,45900,2021-09-11
209599,20210911 12:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:40,4401CC,209599,False,0,DUE,,,45600,2021-09-11
209602,20210911 12:34,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:35,4412CC,209602,False,0,DUE,,,45300,2021-09-11
209606,20210911 12:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:30,4403CC,209606,False,0,DUE,,,45000,2021-09-11
209609,20210911 12:24,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:25,4411CC,209609,False,0,DUE,,,44700,2021-09-11
209613,20210911 12:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:20,4201BBL,209613,False,0,DUE,,,44400,2021-09-11
209616,20210911 12:14,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:15,4412CC,209616,False,0,DUE,,,44100,2021-09-11
209620,20210911 12:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:10,4403CC,209620,False,0,DUE,,,43800,2021-09-11
209623,20210911 12:04,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:05,4411CC,209623,False,0,DUE,,,43500,2021-09-11
209627,20210911 11:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:00,4201BBL,209627,False,0,DUE,,,43200,2021-09-11
209630,20210911 11:54,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 11:55,4412CC,209630,False,0,DUE,,,42900,2021-09-11
209634,20210911 11:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 11:50,4403CC,209634,False,0,DUE,,,42600,2021-09-11
209637,20210911 11:44,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 11:45,4411CC,209637,False,0,DUE,,,42300,2021-09-11
209641,20210911 11:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 11:40,4201BBL,209641,False,0,DUE,,,42000,2021-09-11
209645,20210911 11:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 11:30,4403CC,209645,False,0,DUE,,,41400,2021-09-11
209649,20210911 11:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 11:20,4201BBL,209649,False,0,DUE,,,40800,2021-09-11
209653,20210911 11:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 11:10,4403CC,209653,False,0,DUE,,,40200,2021-09-11
209657,20210911 10:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 11:00,4201BBL,209657,False,0,DUE,,,39600,2021-09-11
209661,20210911 10:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 10:50,4401CC,209661,False,0,DUE,,,39000,2021-09-11
209665,20210911 10:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 10:40,4201BBL,209665,False,0,DUE,,,38400,2021-09-11
209669,20210911 10:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 10:30,4401CC,209669,False,0,DUE,,,37800,2021-09-11
209673,20210911 10:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 10:20,4403CC,209673,False,0,DUE,,,37200,2021-09-11
209677,20210911 10:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 10:10,4402CC,209677,False,0,DUE,,,36600,2021-09-11
209681,20210911 09:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 10:00,4403CC,209681,False,0,DUE,,,36000,2021-09-11
209685,20210911 09:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 09:50,4402CC,209685,False,0,DUE,,,35400,2021-09-11
